Immune cells	Malignant cells	Others
INGX	0.07518	0.09713	0.06847
INHA	0	0.01157	0
INHBA	0.02722	0.00682	2e-05
INHBA-AS1	0.02153	0.02767	0.01857
INHBB	7e-05	0.0185	0.00177
INHBC	0.00125	0.00309	0
INHBE	0.00411	0.00612	0.00384
INIP	0.20628	0.30192	0.3089
INMT	0.06611	0.0909	0.07054
INMT-MINDY4	0	0.00054	0
INO80	0.05002	0.05319	0.05042
INO80B	0.00985	0.01961	0.00783
INO80C	0.07233	0.12297	0.06401
INO80D	0.07749	0.1263	0.10865
INO80E	0.04857	0.07037	0.06968
INPP1	0.02584	0.14575	0.74477
INPP4A	0.10784	0.07732	0.02856
INPP4B	0.07458	0.02512	0.0041
INPP5A	0.01317	0.04384	0.17547
INPP5B	0.15921	0.12239	0.08526
INPP5D	0.72235	0.02098	0.00389
INPP5E	0.01012	0.04467	0.0177
INPP5F	0.06646	0.18287	0.40764
INPP5J	0.00245	0.00575	0.00015
INPP5K	0.11081	0.17444	0.20689
INPPL1	0.12811	0.09927	0.03441
INS-IGF2	0	0.01777	0
INSC	0.00105	0.00222	0
INSIG1	0.39046	0.27399	0.39411
INSIG2	0.19653	0.2849	0.25088
INSL3	0.01582	0.00069	0
INSL5	0	0.00094	0
INSL6	0.00242	0.00077	0
INSM1	4e-05	0.07899	0.00724
INSM2	0	0.00428	0
INSR	0.06859	0.1067	0.31996
INSRR	2e-04	0.00476	0.00035
INTS1	0.0613	0.17506	0.07625
INTS10	0.35258	0.47038	0.3259
INTS12	0.10615	0.29566	0.16937
INTS2	0.04345	0.11038	0.08784
INTS3	0.12163	0.24135	0.12082
INTS4	0.11461	0.20782	0.15895
INTS4P2	0.00269	0.01217	0.00471
INTS5	0.04823	0.106	0.05694
INTS6	0.10599	0.09861	0.08183
INTS7	0.06081	0.21231	0.09074
INTS8	0.05675	0.11289	0.04055
INTS9	0.09071	0.18073	0.11381
INTU	0.01545	0.061	0.03766
INVS	0.06618	0.13583	0.12038
IP6K1	0.08692	0.23777	0.22501
IP6K2	0.29498	1.15032	0.6331
IP6K3	2e-05	0.01036	0.43476
IPCEF1	0.12534	0.01186	0.00265
IPMK	0.03701	0.02125	0.00941
IPO11	0.08836	0.18426	0.11336
IPO13	0.04072	0.10948	0.48688
IPO4	0.02728	0.12631	0.0872
IPO5	0.11424	0.33248	0.2058
IPO7	0.18613	0.33761	0.19427
IPO8	0.06142	0.14128	0.06566
IPO9	0.09405	0.36855	0.11315
IPP	0.0312	0.17081	0.08568
IPPK	0.04087	0.09316	0.10871
IQCA1	0.00074	0.02076	0.00129
IQCB1	0.15169	0.2388	0.07936
IQCC	0.02387	0.0885	0.03232
IQCD	0.01434	0.01885	0.00961
IQCE	0.0151	0.05574	0.0126
IQCF1	0	0.00097	0
IQCF3	0.00061	0.00121	0.00044
IQCG	0.07389	0.16744	0.0313
IQCH	0.00393	0.0257	0.00707
IQCH-AS1	0.03678	0.06966	0.02401
IQCJ	0	0.00107	0
IQCK	0.0137	0.22215	0.29967
IQGAP1	0.38822	0.16751	0.31811
IQGAP2	0.05925	0.03649	0.00016
IQGAP3	0.01966	0.04587	0.00211
IQSEC1	0.09539	0.1054	0.09392
IQSEC2	0.02787	0.01033	0
IQSEC3	0.00224	0.00398	0
IQUB	0.00134	0.0203	0.00189
IRAK1	0.25466	0.16036	0.04642
IRAK1BP1	0.0053	0.04528	0.01999
IRAK2	0.1697	0.04882	0.17887
IRAK3	0.20016	0.00497	0.00268
IRAK4	0.19938	0.14366	0.08201
IREB2	0.10259	0.16948	0.04482
IRF1	0.27357	0.28817	0.359
IRF2	0.33506	0.21905	0.32275
IRF2BP1	0.00538	0.02342	0.02872
IRF2BP2	0.22326	0.27953	0.31331
IRF2BPL	0.01394	0.03635	0.01445
IRF3	0.21082	0.18952	0.14334
IRF4	0.03091	0.00082	0.00055
IRF5	0.36783	0.0197	0.00258
IRF6	0.0059	0.00266	0.00078
IRF7	0.24591	0.08568	0.11614
IRF8	1.03804	0.00368	0
IRF9	0.55791	0.43957	0.85794
IRGC	0.00031	0.00152	0
IRGM	0.01723	0.01499	0.01121
IRGQ	0.12624	0.32697	0.18968
IRS1	0.00054	0.02061	0.00823
IRS2	0.19673	0.18485	0.09859
IRS4	1e-05	5e-04	0.00014
IRX1	2e-05	0.00735	0
IRX2	5e-05	0.01483	3e-05
IRX3	0	0.00244	0
IRX4	4e-05	0.00611	0
IRX5	0	0.00254	0.00059
IRX6	1e-05	0.00102	0
ISCA1	0.13799	0.38658	0.33621
ISCA2	0.24404	0.35549	0.20832
ISCU	0.95163	0.63165	0.36812
ISG15	0.31789	0.37658	0.52844
ISG20	0.19603	0.05057	0.33169
ISG20L2	0.18022	0.20038	0.0884
ISL1	8e-05	0.00195	0.00632
ISL2	1e-04	0.01289	0.00536
ISLR	2e-04	0.01536	0
ISLR2	0.0036	0.00994	0.00308
ISM1	0	0.00149	0
ISM1-AS1	0.00183	0.00194	0
ISM2	0.00016	0.00429	0.00338
ISOC1	0.10019	0.26484	0.31473
ISOC2	0.07723	0.20234	0.20479
ISPD	0.00737	0.02141	0.01681
IST1	0.45751	0.65239	0.65843
ISY1	0.12506	0.18006	0.11566
ISY1-RAB43	0.00538	0.0068	0.00124
ISYNA1	0.06325	0.20563	9e-05
ITCH	0.1693	0.23668	0.43711
ITFG1	0.36565	0.65788	0.5586
ITFG2	0.19555	0.30835	0.28315
FAM234A	0.15114	0.43598	0.66139
ITGA1	0.05555	0.00792	1e-04
ITGA10	0.00516	0.01833	0
ITGA11	0.00132	0.00703	0
ITGA2	0.00519	0.05531	0.11809
ITGA2B	0.00088	0.00859	0.0064
ITGA3	0.00124	0.0523	0
ITGA4	0.21323	0.01354	0.00031
ITGA5	0.31997	0.09971	0.00908
ITGA6	0.07365	0.10174	0.00929
ITGA7	0.00542	0.28574	0.02743
ITGA8	6e-05	0.00081	0
ITGA9	0.03315	0.00678	0.00338
ITGAD	0.0047	0.00022	0
ITGAE	0.0978	0.1194	0.12256
ITGAL	0.22779	0.00816	0.00464
ITGAM	0.53042	0.00114	0
ITGAV	0.26285	0.26338	0.17737
ITGAX	0.65503	0.00544	0.00337
ITGB1	0.78536	0.47702	0.53184
ITGB1BP1	0.1751	0.40139	0.47989
ITGB1BP2	0.00726	0.01283	0.00245
ITGB2	1.77318	0.00133	0
ITGB2-AS1	0.16616	5e-04	2e-04
ITGB3	0.0285	0.01275	0.00456
ITGB3BP	0.08933	0.22322	0.0713
ITGB4	0.00385	0.06088	0.05541
ITGB5	0.07244	0.02353	0.02943
ITGB7	0.03686	0.0042	0.00917
ITGB8	0.02781	0.96873	0.60632
ITGBL1	0.00013	0.03552	0.00955
ITIH1	4e-04	0.00098	0.00013
ITIH2	0.00036	0.00063	0.00022
ITIH3	0.00036	0.00066	0.00205
ITIH4	0.0462	0.01823	0.00753
ITIH5	0.0186	0.02297	0.01157
ITIH6	0	0.00043	5e-05
ITK	0.06919	0.00623	0
ITLN2	0	0.00117	0
ITM2A	0.1513	0.24968	0.41375
ITM2B	3.17792	1.87525	2.95953
ITM2C	0.27814	0.96902	0.2548
ITPA	0.34066	0.63171	0.33102
ITPK1	0.14685	0.15178	0.53881
ITPK1-AS1	0.03264	0.02836	0.0445
ITPKA	2e-04	0.02984	0
ITPKB	0.05307	0.05514	0.57164
ITPKC	0.02565	0.04354	0.02472
ITPR1	0.0892	0.02584	0.00705
ITPR2	0.25024	0.09855	0.01628
ITPR3	0.01541	0.02119	0.01491
ITPRIP	0.27279	0.07041	0.01551
ITPRIPL1	0.02504	0.04403	0
ITPRIPL2	0.0818	0.04018	0.00675
ITSN1	0.1208	0.18118	0.08522
ITSN2	0.32842	0.10955	0.19049
IVD	0.26129	0.33364	0.33122
IVL	0.00013	0.00042	0
IVNS1ABP	0.65572	0.50441	0.61107
IWS1	0.19756	0.37345	0.40752
IYD	0.00725	0.00819	0.00599
IZUMO1	0.00332	0.00071	0.00181
IZUMO2	0	0.00065	0
IZUMO4	0.00389	0.01808	0.06824
JAG1	0.02828	0.37216	0.01199
JAG2	0.01711	0.00532	0
JAGN1	0.1669	0.34129	0.37769
JAK1	0.36867	0.23447	0.22197
JAK2	0.21362	0.05965	0.053
JAK3	0.23518	0.03249	0.02039
JAKMIP1	0.0219	0.03822	0
JAKMIP2	0.00545	0.14659	0.14436
JAKMIP3	0.00098	0.00533	0.14927
JAM2	0.11908	0.4201	0.04364
JAM3	0.00717	0.5305	1.42734
JARID2	0.10106	0.10142	0.07891
JAZF1	0.16243	0.17157	0.06426
JAZF1-AS1	3e-05	0.00057	0
JDP2	0.10356	0.01341	0.00951
JKAMP	0.48278	0.5499	0.76319
JMJD1C	0.48469	0.34584	0.25209
JMJD1C-AS1	0.00575	0.01932	0.0048
JMJD4	0.04864	0.11026	0.06635
JMJD6	0.42309	0.30017	0.17255
JMJD7	0.11225	0.0842	0.1574
JMJD7-PLA2G4B	0.01184	0.01995	0.0096
JMJD8	0.06918	0.12169	0.07404
JMY	0.04588	0.06071	0.04948
JOSD1	0.14382	0.09874	0.07503
JOSD2	0.13269	0.20126	0.77874
JPH1	0.00067	0.01709	0.006
JPH2	0	0.00101	0.00023
JPH3	0.003	0.022	0
JPH4	0.00448	0.03686	0.00039
JPX	0.07081	0.13984	0.10808
JRK	0.02745	0.09187	0.04468
JRKL	0.03201	0.08862	0.07213
JRKL-AS1	0.00086	0.00054	0.00039
JSRP1	5e-04	0.00142	0
JTB	0.31338	0.4918	0.36562
JUN	0.68081	0.95221	0.32213
JUNB	1.82756	1.13769	1.00392
JUND	0.06778	0.09073	0.05848
JUP	0.04013	0.04384	0.21896
KAAG1	0.00011	0.00152	0.00571
ANOS1	0.07179	0.01817	0.00086
KALRN	0.00268	0.09204	0.00672
KANK1	0.01725	0.28674	0.31254
KANK2	0.01915	0.10635	0.02836
KANK3	0.00747	0.02649	0.01154
KANK4	0.00291	0.0045	0.03552
KANSL1	0.1303	0.23275	0.17995
KANSL1-AS1	0.0858	0.12326	0.05549
KANSL1L	0.03854	0.07208	0.02909
KANSL2	0.15579	0.42697	0.2731
KANSL3	0.11335	0.21831	0.14014
KARS	0.41183	0.66264	0.38837
KAT2A	0.07267	0.11631	0.0346
KAT2B	0.0634	0.15833	0.24944
KAT5	0.17575	0.33815	0.2531
KAT6A	0.08823	0.13547	0.1208
KAT6B	0.06788	0.14349	0.10465
KAT7	0.26588	0.70403	0.45562
KAT8	0.09628	0.11161	0.09155
KATNA1	0.12329	0.2202	0.20647
KATNAL1	0.01451	0.06895	0.08586
KATNAL2	0.00601	0.04337	0.02085
KATNB1	0.05249	0.19758	0.10246
KATNBL1	0.18369	0.31296	0.21262
KAZALD1	0.00176	0.00866	0
KAZN	0.00197	0.05286	0.16697
KBTBD11	0.00462	0.02791	0.07062
KBTBD12	0.06552	0.0462	0.02417
KBTBD13	2e-05	0.0047	0
KBTBD2	0.15611	0.32581	0.20057
KBTBD3	0.01725	0.05111	0.14763
KBTBD4	0.07482	0.19058	0.14354
KBTBD6	0.03327	0.26983	0.26776
KBTBD7	0.06832	0.15247	0.14853
KBTBD8	0.23526	0.0507	0.02936
KCMF1	0.0451	0.08214	0.0432
KCNA1	4e-05	0.00572	0
KCNA2	6e-04	0.20606	0.12086
KCNA3	0.0282	0.02087	0
KCNA4	6e-05	0.0016	0
KCNA5	0	0.00956	0
KCNA6	6e-05	0.01693	0.00115
KCNA7	0.03019	0.04067	0.02692
KCNAB1	0.04189	0.05938	0.09323
KCNAB2	0.20173	0.06466	0.0459
KCNAB3	0.01146	0.04182	0.01481
KCNB1	0.00046	0.01261	0.00555
KCNB2	0	0.00676	0.00091
KCNC1	0.00047	0.01767	0.00225
KCNC2	0	0.00314	0
KCNC3	0.0014	0.00034	0.00056
KCNC4	0.00135	0.00452	0
KCND1	0.00609	0.01344	0.00017
KCND2	0.00063	0.15735	0.00016
KCND3	0.00012	0.03036	0.02631
KCNE1	0.01221	0.00123	0
KCNE5	0.0018	0.03439	0.00037
KCNE2	0.00286	0.00852	0
KCNE3	0.18707	0.01487	0.0078
KCNE4	0.03503	0.12228	0.03539
KCNF1	0.00357	0.05843	0.00014
KCNG1	2e-05	0.00624	0
KCNG2	0.00214	0.00093	0.00033
KCNG3	0	0.00042	8e-04
KCNG4	9e-04	0.00261	7e-05
KCNH1	0.00126	0.02032	0.0532
KCNH2	0.00115	0.08211	0
KCNH3	0.00045	0.02442	0.00261
KCNH4	0.00199	0.00465	0.00035
KCNH5	0.00019	0.00843	3e-05
KCNH6	0.00885	0.01319	0.01033
KCNH7	0.00119	0.11372	0.00014
KCNH8	0.00056	0.03913	0.25458
KCNIP1	0.01077	0.20084	0.00026
KCNIP2	0.01173	0.09184	4e-04
KCNIP3	0.00027	0.04187	0.01436
KCNIP4	0.00948	0.14852	0.0412
KCNJ1	0.00518	0.00056	0
KCNJ10	0.00191	0.17572	0.98899
KCNJ11	0.02623	0.04028	0.02646
KCNJ12	6e-05	0.00025	3e-05
KCNJ13	0.00806	0.02046	0.01758
KCNJ14	0.0056	0.02323	0.00939
KCNJ15	0.00813	0.00024	0
KCNJ16	0.00026	0.06515	0.00169
KCNJ2	0.04389	0.04264	0.30298
KCNJ2-AS1	0.00753	0.02241	0.13166
KCNJ3	0.00487	0.01026	0.0045
KCNJ4	0	0.00169	0
KCNJ5	0.09885	0.05022	0.02814
KCNJ6	0	0.02829	0
KCNJ8	0.00084	0.03933	0.00223
KCNJ9	0.00055	0.00339	0.02238
KCNK1	0.00125	0.01893	0.74772
KCNK10	0.00545	0.0243	0.11369
KCNK12	0.00022	0.00429	0.00811
KCNK13	0.0214	0.00044	0
KCNK15	3e-05	0.00771	0
KCNK17	0.01121	0.00063	0
KCNK2	0.00027	0.02901	0.00022
KCNK3	0.00149	0.00707	0.00149
KCNK4	7e-05	0.00204	0.00424
KCNK5	0.00375	0.00878	0
KCNK6	0.11888	0.012	0.00039
KCNK7	0.0024	0.00769	0.00161
KCNK9	0	0.01279	0
KCNMA1	0.11802	0.04222	0.00763
KCNMB1	0.17013	0.00781	0
KCNMB2	0.00464	0.04135	0.00046
KCNMB3	0.02964	0.06132	0.07584
KCNMB4	0.00935	0.06456	0.57303
KCNN1	6e-05	0.00358	0
KCNN2	0.02324	0.08824	0.01695
KCNN3	0.00888	0.03493	0.0234
KCNN4	0.07304	0.0154	0
KCNQ1	0.07475	0.00076	0
KCNQ1DN	0.00011	0.00277	0.01463
KCNQ1OT1	0.28438	0.49223	0.34673
KCNQ2	0.00111	0.21004	0
KCNQ3	0.10876	0.01938	0.00404
KCNQ4	0.00033	0.00326	0.00305
KCNQ5	0.00114	0.00771	0
KCNQ5-AS1	5e-05	0.00315	0
KCNRG	0.01531	0.02291	0.0057
KCNS1	0.00215	0.00811	0
KCNS2	0.00028	0.00137	0
KCNS3	0.00057	0.01703	0.08681
KCNT1	0.00094	0.003	0.00039
KCNT2	0.00028	0.07156	3e-04
KCNU1	0.00015	3e-04	0
KCNV1	0.00021	0.00048	0
KCNV2	0.00109	0.00733	0.00051
KCP	0.00296	0.00802	0.00305
KCTD1	0.001	0.05364	0.01404
KCTD10	0.1266	0.19565	0.13188
KCTD11	0.03196	0.03885	0.05212
KCTD12	0.60437	0.0871	0.00032
KCTD13	0.05101	0.2061	0.1989
KCTD14	0.00135	0.0597	0.00995
KCTD15	0.00455	0.12571	0.00068
KCTD16	4e-04	0.01836	0
KCTD17	0.01214	0.04916	0.04613
KCTD18	0.0578	0.08041	0.11752
KCTD19	0.00129	0.00108	0.00032
KCTD2	0.01768	0.05585	0.11009
KCTD20	0.24153	0.34582	0.20973
KCTD21	0.02662	0.04205	0.04429
KCTD3	0.01334	0.14146	0.17568
KCTD4	0.003	0.00744	0.17296
KCTD5	0.07595	0.12856	0.06694
KCTD6	0.05335	0.23201	0.20359
KCTD7	0.09655	0.14838	0.27364
KCTD8	0	0.00868	0.02975
KCTD9	0.07211	0.07913	0.03982
KDELC1	0.00471	0.10842	0.05172
KDELC2	0.0843	0.1576	0.08854
KDELR1	0.36704	0.62328	0.38388
KDELR2	0.69391	1.23954	0.61117
KDELR3	0.02243	0.04501	0.0054
KDM1A	0.0437	0.14028	0.07051
KDM1B	0.03641	0.04534	0.03387
KDM2A	0.14711	0.1568	0.07541
KDM2B	0.07308	0.09001	0.05763
KDM3A	0.1237	0.23244	0.08764
KDM3B	0.10413	0.11585	0.05248
KDM4A	0.08658	0.20003	0.12717
KDM4A-AS1	0.05686	0.11216	0.08786
KDM4B	0.01563	0.0431	0.01771
KDM4C	0.21001	0.13545	0.32634
KDM4D	0.00158	0.02151	0.01562
KDM4E	0.00139	0.00021	0
KDM5A	0.19134	0.28962	0.14607
KDM5B	0.05279	0.21771	0.067
KDM5C	0.0953	0.21019	0.11504
KDM5D	0.08816	0.06798	0.10174
KDM6A	0.08666	0.14408	0.12647
KDM6B	0.12831	0.04297	0.00576
KDM8	0.02218	0.03562	0.05021
KDR	0.00067	0.00283	0.04282
KDSR	0.17044	0.17626	0.40943
KEAP1	0.19545	0.55888	0.5977
KEL	0.00017	0.00522	0.0664
KERA	0.00093	4e-04	0
KHDC1	0.00576	0.15936	0.07238
KHDC1L	0	0.01192	0.00751
KHDC3L	0.0014	0.0021	0
KHDRBS1	0.16364	0.35817	0.24547
KHDRBS2	0.00763	0.04499	0.00351
KHDRBS3	0.01553	0.16003	0.04533
KHK	0.02647	0.0725	0.09379
KHNYN	0.08388	0.07102	0.06426
KHSRP	0.02286	0.07264	0.04813
PUM3	0.14025	0.22654	0.11862
KIAA0040	0.09494	0.06984	0.00356
KIAA0087	0.00573	0.02112	0.00459
KIAA0100	0.15111	0.19714	0.11757
PCLAF	0.07613	0.28024	0.02675
FAM30A	0.0025	0.00034	2e-05
DELE1	0.22452	0.17263	0.14726
TMEM94	0.09515	0.25221	0.17169
WASHC5	0.21913	0.24138	0.48083
RUBCN	0.12413	0.15517	0.1497
RUBCNL	0.20758	0.14722	0
KIAA0232	0.04643	0.11126	0.15005
SUSD6	0.6739	0.14323	0.16905
KIAA0319	0.00071	0.00865	0.00251
KIAA0319L	0.14241	0.22806	0.19416
KIAA0355	0.10372	0.15862	0.20792
ECPAS	0.07014	0.10427	0.19115
KIAA0391	0.11304	0.18563	0.11438
KIAA0408	0.00758	0.10892	0.04932
MARF1	0.09153	0.12035	0.11427
KIAA0513	0.05999	0.04349	0.03899
KIAA0556	0.03277	0.08679	0.07704
KIAA0586	0.06982	0.13507	0.13825
KIAA0753	0.03436	0.07211	0.02697
KIAA0825	0.03783	0.05865	0.02942
KIAA0895	0.00076	0.07482	0.06368
KIAA0895L	0.02508	0.18374	0.05448
KHDC4	0.05058	0.14939	0.084
TMEM131L	0.09615	0.1364	0.04879
KIAA0930	0.06741	0.03089	0.20882
ICE1	0.03864	0.07274	0.0639
CEP162	0.02596	0.08663	0.05548
KIAA1024	0.00077	0.01271	0.00317
KIAA1024L	0.00078	0.00057	0.00027
WASHC4	0.35273	0.23149	0.3391
PHF24	0.00404	0.00643	0.00469
KIAA1109	0.11009	0.12507	0.18814
KIAA1143	0.0975	0.21755	0.25232
KIAA1147	0.07808	0.07577	0.11289
MYORG	0.00674	0.04662	0.0673
KIAA1191	0.26837	0.63547	0.27425
CEMIP	0.00226	0.02213	0.00231
KIAA1210	0.00219	0.00306	0.0026
KIAA1211	0.00035	0.07288	0.00141
KIAA1211L	0.01579	0.00591	0.00075
KIAA1217	3e-04	0.03188	0.0018
NWD2	2e-05	0.00306	0
ARFGEF3	0.00341	0.05115	0.33133
KIAA1257	8e-05	0.00367	0
KIF1BP	0.13553	0.27748	0.51617
KIAA1324	0.03409	0.03967	0.04672
KIAA1324L	0.00657	0.03691	0.12907
KIAA1328	0.03441	0.08845	0.08216
CEP126	0.00781	0.02994	0.03559
CCDC191	0.02215	0.05647	0.01683
VIRMA	0.09331	0.18354	0.12996
CFAP97	0.11388	0.25576	0.19986
RIC1	0.08076	0.05298	0.06832
TRMT9B	0.01386	0.06808	0.01435
JCAD	0.00086	0.00844	0.01917
FAM234B	0.05192	0.219	0.12167
RELCH	0.12745	0.11195	0.12025
KIAA1522	0.00976	0.03704	0.00015
CIP2A	0.03061	0.11954	0.02054
KIAA1549	0.00107	0.10065	0.00405
KIAA1549L	0.00034	0.0304	0.00048
KIAA1551	0.36906	0.16602	0.10182
KIAA1586	0.05526	0.20867	0.07162
SHTN1	0.33929	0.13918	1.24406
KIAA1614	0.01886	0.03997	0.01695
SHISAL1	5e-04	0.00807	0.00073
KIAA1671	0.00759	0.02157	0.00403
IQCN	0.17254	0.15568	0.10373
LNPK	0.09867	0.32863	0.2448
CEP295	0.03119	0.0542	0.04785
KIAA1755	0.00086	0.04592	0.30851
KIAA1841	0.03202	0.12617	0.09267
WDR97	0.01584	0.02294	0.01345
MFSD4B	0.10063	0.11664	0.06542
KIAA1958	0.00455	0.11558	0.12408
KIAA2013	0.08432	0.08635	0.13733
USF3	0.06674	0.07819	0.06932
NEXMIF	0.00161	0.02341	0.00284
KIAA2026	0.07775	0.09857	0.12739
KIDINS220	0.14478	0.46599	0.55984
KIF11	0.03163	0.10836	0.02455
KIF13A	0.0195	0.07498	0.11516
KIF13B	0.07981	0.06092	0.42135
KIF14	0.00671	0.04705	0.00258
KIF15	0.00815	0.08464	0.00294
KIF16B	0.10918	0.04424	0.09017
KIF17	0.00935	0.00303	0
KIF18A	0.01215	0.06802	0.01268
KIF18B	0.06475	0.15661	0.05983
KIF19	2e-04	0.02198	0.20673
KIF1A	0.00046	0.23067	0.79309
KIF1B	0.10267	0.55742	0.59049
KIF1C	0.03399	0.04515	0.02642
KIF20A	0.00797	0.06907	0.00093
KIF20B	0.08504	0.06456	0.02196
KIF21A	0.01488	0.41169	0.22077
KIF21B	0.06667	0.08457	0.00917
KIF22	0.14164	0.33378	0.09936
KIF23	0.01742	0.09357	0.00629
KIF24	0.00964	0.03445	0.01328
KIF25	4e-05	0.00173	0.02583
KIF26A	0.00045	0.00793	0
KIF26B	0.01888	0.05568	0.00038
KIF27	0.02486	0.06579	0.03297
KIF2A	0.1	0.32273	0.2976
KIF2C	0.01386	0.11832	0.00549
KIF3A	0.05309	0.32071	0.2992
KIF3B	0.04244	0.15886	0.05862
KIF3C	0.04183	0.19244	0.07364
KIF4A	0.00785	0.09595	0.00736
KIF4B	0.00048	0.00085	0
KIF5A	0.00102	0.23644	0.06995
KIF5B	0.5112	0.68077	0.59899
KIF5C	0.00403	0.26654	0.38243
KIF6	1e-04	0.00119	0.10796
KIF7	0.00044	0.02443	0.00031
KIF9	0.01357	0.04215	0.01155
KIF9-AS1	0.01211	0.04081	0.01783
KIFAP3	0.11875	0.51543	0.52693
KIFC1	0.01738	0.09828	0.00393
KIFC2	0.00502	0.01618	0.00206
KIFC3	0.04345	0.05225	0.0984
KIN	0.11992	0.15305	0.12576
KIR2DL1	5e-05	0.00036	0.00184
KIR2DL3	0	0.00054	0.00044
KIR3DL2	0.00255	0.00025	0
KIR3DX1	0.00508	0.00026	0
KIRREL1	0.00031	0.09192	0.00414
KIRREL2	0.0063	0.00632	0.00649
KIRREL3	0.00018	0.03301	0.25099
KIRREL3-AS2	8e-05	0.00613	0.03899
KIRREL3-AS3	0	0.00018	0.00034
KISS1	0.00013	4e-04	0
KISS1R	3e-04	0.00168	0
KIT	0.01968	0.02316	0.01656
KITLG	0.00257	0.1076	0.00012
KL	0.00099	0.00208	0.00414
KLB	0.0247	0.0255	0.02114
KLC1	0.15178	0.47643	0.36218
KLC2	0.01267	0.10146	0.07853
KLC3	0.00069	0.00322	0.00074
KLC4	0.04795	0.13297	0.07785
KLF1	0.00369	0.0011	0
KLF10	0.59458	0.39207	0.03159
KLF11	0.04431	0.02386	0.00213
KLF12	0.01916	0.17249	0.01
KLF13	0.03439	0.03533	0.1333
KLF15	0.00201	0.02131	0.03731
KLF16	0.01237	0.01479	0.00482
KLF17	0.00341	0.00376	0.001
KLF2	0.14052	0.00865	0.00241
KLF3	0.15621	0.17577	0.34495
KLF4	0.47407	0.09587	0.05571
KLF5	0.00086	0.00631	0.00068
KLF6	1.26544	0.51936	0.31178
KLF7	0.11697	0.20782	0.2129
KLF8	0.01264	0.02607	0.02379
KLF9	0.05222	0.08891	0.16496
KLHDC1	0.08322	0.05427	0.13666
KLHDC10	0.03381	0.1438	0.07151
KLHDC2	0.31281	0.57641	0.56513
KLHDC3	0.35945	0.64115	0.46439
KLHDC4	0.07768	0.13293	0.10962
KLHDC7A	0.00201	0.00112	0
KLHDC7B	0.00889	0.00079	0
KLHDC8A	0.00519	0.5479	0.00432
KLHDC8B	0.09978	0.1547	0
KLHDC9	0.00263	0.08147	0.02405
KLHL1	1e-05	9e-04	0
KLHL10	0.0015	0.00362	2e-04
KLHL11	0.05668	0.32949	0.32074
KLHL12	0.1459	0.24686	0.13494
KLHL13	0.0032	0.23311	0.02278
KLHL14	0	0.01093	0.00091
KLHL15	0.05256	0.05677	0.02848
KLHL17	0.00554	0.02316	0.00397
KLHL18	0.11001	0.12463	0.04222
KLHL2	0.06125	0.04491	0.16885
KLHL20	0.08116	0.19033	0.11713
KLHL21	0.09806	0.11186	0.27357
KLHL22	0.05112	0.19149	0.08838
KLHL23	0.00402	0.22447	0.0118
KLHL24	0.16927	0.20298	0.28862
KLHL25	0.02006	0.17569	0.01302
KLHL26	0.05087	0.05104	0.09605
KLHL28	0.09686	0.1755	0.19009
KLHL29	0.0078	0.03554	0.00457
KLHL3	0.01129	0.02119	0.05186
KLHL30	0.00871	0.01072	0.00631
KLHL31	0.00128	0.00511	0.00436
KLHL32	0.00163	0.03095	0.96286
KLHL33	0.00506	0.00124	0
KLHL34	0.00018	0.01071	0.00015
KLHL35	0.00794	0.03368	0.00803
KLHL36	0.06263	0.03655	0.01169
KLHL4	0.00167	0.32436	0.40589
KLHL40	0	0.00053	0.00408
KLHL41	0.00433	0.00894	0.00377
KLHL42	0.02341	0.18738	0.15952
KLHL5	0.13595	0.13413	0.05606
KLHL6	0.24998	0.00899	0.0113
KLHL7	0.1156	0.7449	0.14729
KLHL7-DT	0.00535	0.03109	0.00866
KLHL8	0.07987	0.12717	0.05392
KLHL9	0.14112	0.24882	0.26655
KLK1	0	0.00114	0
KLK10	0.00421	0.00698	0.00823
KLK14	0.00062	0.00357	0
KLK2	0	0.00061	0
KLK3	3e-05	0.00047	0
KLK4	0.00153	0.00046	0.00045
KLK6	0.00342	0.01135	2.73676
KLK7	0.01225	0.01672	0.01194
KLK9	0.00061	0.00487	0.00284
KLKB1	0.00198	0.00569	0.0063
KLKP1	0	0.00024	0
KLLN	0.00721	0.00964	0.00393
KLRA1P	0.02122	0.05054	0.0166
KLRB1	0.10406	0.00174	0
KLRC1	0.05103	0.00422	0.00504
KLRC2	0.01651	0.27094	0.24214
KLRC3	0.0299	0.17718	0.25195
KLRC4	0.03902	0.09492	0.00892
KLRC4-KLRK1	0.02444	0.03283	0.00254
KLRD1	0.13459	0.15146	0.11219
KLRF1	0.01093	0.00265	0
KLRG1	0.04103	0.05884	0.06939
KLRG2	0	0.00026	0
KLRK1	0.10105	0.07894	0.01663
KMO	0.04274	0.00368	0.00354
KNDC1	0.00017	0.01303	0.00024
KNG1	0.00079	0.00191	0.00046
KNSTRN	0.0848	0.19755	0.075
KNTC1	0.04472	0.14179	0.01936
KPNA1	0.14794	0.26051	0.26362
KPNA2	0.32816	0.79865	0.2402
KPNA3	0.129	0.26149	0.21557
KPNA4	0.09388	0.10792	0.05708
KPNA5	0.0579	0.13871	0.05847
KPNA6	0.20605	0.38446	0.36297
KPNA7	0.00022	0.00022	0
KPNB1	0.17663	0.3419	0.19465
KPTN	0.04988	0.12305	0.10276
KRAS	0.11329	0.178	0.09329
