Immune cells	Malignant cells	Others
AKR1C8P	0.00042	6e-04	0
AKR1D1	0.01386	0.01724	0.01038
AKR1E2	0.00667	0.00271	0
AKR7A2	0.19698	0.35051	0.20571
AKR7A2P1	0.01049	0.01408	0.00335
AKR7A3	0.00487	0.02734	0.00778
AKR7L	0.00336	0.02622	0.01145
AKT1	0.08851	0.14306	0.05803
AKT1S1	0.02264	0.06525	0.0584
AKT2	0.04659	0.17299	0.08322
AKT3	0.03848	0.25325	0.10361
AKTIP	0.08439	0.23444	0.50887
ALAD	0.1525	0.14822	0.60465
ALAS1	0.18089	0.28778	0.21409
ALAS2	0.00096	0.00122	0
ALB	0.00049	0.00241	0.00735
ALCAM	0.41055	0.42653	1.09641
ALDH16A1	0.0745	0.05965	0.0417
ALDH18A1	0.07861	0.30034	0.06245
ALDH1A1	0.20182	0.01488	0.00073
ALDH1A2	0.00786	0.0041	0.00651
ALDH1A3	0.00486	0.00952	0.02186
ALDH1B1	0.05661	0.16262	0.07142
ALDH1L1	0.00176	0.13497	0.00542
ALDH1L1-AS1	0	0.00278	0
ALDH1L1-AS2	0.00096	0.03839	0
ALDH1L2	0.00959	0.04875	0.01764
ALDH2	1.10208	0.41467	0.3166
ALDH3A1	0.00118	0.00375	0.0077
ALDH3A2	0.16154	0.46072	0.69583
ALDH3B1	0.1882	0.04227	0.07144
ALDH3B2	0.00123	0.00036	0.00029
ALDH4A1	0.01968	0.09931	0.01474
ALDH5A1	0.03139	0.11405	0.01112
ALDH6A1	0.12475	0.37505	0.79678
ALDH7A1	0.07259	0.42182	0.2337
ALDH8A1	0.0112	0.02628	0.03167
ALDH9A1	0.36797	0.60982	0.49275
ALDOA	1.77388	2.13748	2.08855
ALDOB	0.00121	0.00524	0.00762
ALDOC	0.10864	0.38663	0.31598
ALG1	0.10888	0.15667	0.12803
ALG10	0.04054	0.05769	0.04601
ALG10B	0.0273	0.07223	0.03103
ALG11	0.10238	0.22909	0.20407
ALG12	0.12279	0.17582	0.23661
ALG13	0.22355	0.19679	0.23123
ALG14	0.06979	0.19406	0.41997
ALG1L	0.00542	0.02462	0.03087
ALG1L2	0.00132	0.00458	0.00351
ALG1L9P	0.02395	0.07744	0.04442
ALG2	0.24122	0.24863	0.12634
ALG3	0.2578	0.32775	0.16684
ALG5	0.29819	0.49036	0.53639
ALG6	0.09081	0.22574	0.1313
ALG8	0.20825	0.34465	0.34763
ALG9	0.05523	0.17666	0.14388
ALK	0.00041	0.05786	0.00539
ALKBH1	0.05776	0.09251	0.05829
ALKBH2	0.05367	0.39708	0.18712
ALKBH3	0.09601	0.18491	0.19744
ALKBH4	0.06168	0.23754	0.13624
ALKBH5	0.09431	0.17148	0.19231
ALKBH6	0.09287	0.13202	0.10526
ALKBH7	0.2401	0.30094	0.3499
ALKBH8	0.02197	0.05906	0.01332
ALLC	0	0.00061	0
ALMS1	0.03746	0.09657	0.07184
ALMS1P1	0.00217	0.01359	0.00758
ALOX12	0.00738	0.00672	0.00122
ALOX12B	1e-05	0.00156	0
ALOX12P2	0.00334	0.02393	0.00136
ALOX15	0.00095	0.00108	4e-04
ALOX15B	0.13085	5e-04	3e-05
ALOX5	0.77146	0.00195	0.01407
ALOX5AP	2.28487	0.00491	0
ALOXE3	0.00014	0.00301	0
ALPK1	0.10097	0.01893	0.0046
ALPK2	0.02224	0.01801	0
ALPK3	0.04767	0.01271	0
ALPL	0.00137	0.03332	0
ALPP	0.00211	0.00222	0.00192
ALS2	0.04038	0.12051	0.09194
ALS2CL	0.01145	0.00604	0.00166
C2CD6	3e-05	0.00899	0.00782
ALS2CR12	0.00204	0.01268	0.00957
ALX1	0.00048	0.00312	0
ALX3	0.00465	0.02716	0.00683
ALX4	8e-05	0.0028	0.00026
ALYREF	0.0106	0.03316	0.01021
AMACR	0.0627	0.09247	0.05647
AMBN	0	0.00045	0
AMBP	0.00088	4e-04	0
AMBRA1	0.07422	0.11521	0.1057
AMD1	0.57506	0.5944	1.84034
AMDHD1	0.01512	0.00394	0.00032
AMDHD2	0.1337	0.07635	0.1671
AMER1	0.00384	0.04163	0.01356
AMER2	0.00259	0.03913	0.58269
AMER3	0.00175	0.01918	0.00148
AMFR	0.08286	0.13065	0.12914
AMH	0.0026	0.03242	0.00468
AMHR2	0.00197	0.00035	0
JAML	0.21632	6e-05	0
AMIGO1	0.00097	0.012	0.00459
AMIGO2	0.02278	0.01523	0
AMIGO3	0.03392	0.08575	0.02198
AMMECR1	0.02289	0.05584	0.01626
AMMECR1L	0.05278	0.15258	0.04582
AMN1	0.06292	0.20812	0.33685
AMOT	0.01928	0.05336	0.0093
AMOTL1	0.01178	0.10961	0.00412
AMOTL2	0.00157	0.24131	0.62203
AMPD1	0.00025	0.00018	0
AMPD2	0.44558	0.26727	0.17683
AMPD3	0.17395	0.00813	0.29526
AMPH	0.008	0.10989	0.01431
AMT	0.09644	0.08051	0.02116
AMY1A	0.00018	0.00061	0.00022
AMY1B	6e-05	0.00041	0
AMY2A	0.00063	0.00134	0.00021
AMY2B	0.06663	0.07257	0.09721
AMZ1	0.01437	0.05159	0.01975
AMZ2	0.27041	0.48307	0.27826
AMZ2P1	0.22683	0.20158	0.18132
ANAPC1	0.05563	0.10994	0.07413
ANAPC10	0.10879	0.22989	0.13189
ANAPC11	0.43409	1.05566	0.63307
ANAPC13	0.32579	0.75001	0.52319
ANAPC15	0.1562	0.31022	0.21906
ANAPC16	0.37047	0.26021	0.22105
ANAPC1P1	0.00637	0.01215	0.00632
ANAPC2	0.04974	0.08386	0.0612
ANAPC4	0.15903	0.19405	0.16087
ANAPC5	0.43739	0.79178	1.07124
ANAPC7	0.18468	0.55568	0.341
ANG	0.11205	0.02978	0.01647
ANGEL1	0.19916	0.22094	0.28179
ANGEL2	0.10425	0.21128	0.18305
