DRUG_ID,ln_IC50_pred,DRUG_NAME,Targets,Target_pathway,en_entrenamiento
326,3.2949318885803223,GSK690693,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,False
229,3.296182870864868,Enzastaurin,PKCB,"Other, kinases",False
287,3.297935724258423,KIN001-244,PDK1 (PDPK1),Metabolism,False
1498,3.3000757694244385,Selumetinib,"MEK1, MEK2",ERK MAPK signaling,False
1062,3.3000757694244385,Selumetinib,"MEK1, MEK2",ERK MAPK signaling,False
309,3.301840782165528,Y-39983,ROCK,Cytoskeleton,False
83,3.306281328201294,JW-7-52-1,MTOR,PI3K/MTOR signaling,False
159,3.3089041709899902,HG6-64-1,BRAF,ERK MAPK signaling,False
1932,3.309977769851685,NVP-ADW742,IGF1R,IGF1R signaling,True
1038,3.31306266784668,NU7441,DNAPK,Genome integrity,True
184,3.3238635063171387,BMS-754807,"IGF1R, IR",RTK signaling,False
1043,3.324354887008667,JNK Inhibitor VIII,JNK,JNK and p38 signaling,False
167,3.3316915035247803,OSU-03012,PDK1 (PDPK1),Metabolism,False
271,3.3349459171295166,VNLG/124,"HDAC,RAR",Chromatin histone acetylation,False
175,3.3440794944763184,PAC-1,"Procaspase-3, Procaspase-7",Apoptosis regulation,False
312,3.349181652069092,Tivozanib,"VEGFR1, VEGFR2, VEGFR3",RTK signaling,False
29,3.3499648571014404,AZ628,BRAF,ERK MAPK signaling,False
171,3.357805728912353,AKT inhibitor VIII,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,False
228,3.357805728912353,AKT inhibitor VIII,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,False
291,3.3694467544555664,KIN001-266,MAP3K8,ERK MAPK signaling,False
260,3.3704099655151367,NG-25,"TAK1, MAP4K2","Other, kinases",False
1051,3.3801448345184326,Alisertib,AURKA,Mitosis,True
1924,3.381606101989746,Ipatasertib,"AKT1, AKT, AKT3",PI3K/MTOR signaling,True
273,3.383506298065185,CUDC-101,"HDAC1-10, EGFR, ERBB2",Other,False
1052,3.385321855545044,RO-3306,CDK1,Cell cycle,True
1262,3.3858911991119385,UNC1215,L3MBTL3,Chromatin other,False
127,3.40104341506958,GSK269962A,"ROCK1, ROCK2",Cytoskeleton,False
1192,3.40104341506958,GSK269962A,"ROCK1, ROCK2",Cytoskeleton,True
1029,3.41862416267395,Motesanib,"VEGFR, RET, KIT, PDGFR",RTK signaling,False
1009,3.4201223850250244,Tretinoin,Retinoic acid,Other,False
341,3.449061393737793,Selisistat,SIRT1,Chromatin histone acetylation,False
147,3.4561054706573486,NSC-87877,"SHP-1 (PTPN6), SHP-2 (PTPN11)",Other,False
1613,3.457214832305908,VE-822,ATR,Genome integrity,True
34,3.4718501567840576,Imatinib,"ABL, KIT, PDGFR","Other, kinases",False
1219,3.472900152206421,PFI-1,BRD4,Chromatin other,False
1008,3.4733099937438965,Methotrexate,Antimetabolite,DNA replication,False
303,3.476430177688598,PIK-93,PI3Kgamma,PI3K/MTOR signaling,False
2169,3.4854838848114014,AZD6482,PI3Kbeta,PI3K/MTOR signaling,True
1066,3.4854838848114014,AZD6482,PI3Kbeta,PI3K/MTOR signaling,False
156,3.4854838848114014,AZD6482,PI3Kbeta,PI3K/MTOR signaling,False
1013,3.49954605102539,Nilotinib,ABL,ABL signaling,True
2047,3.5005288124084477,Ulixertinib,"ERK1, ERK2",ERK MAPK signaling,True
1908,3.5005288124084477,Ulixertinib,"ERK1, ERK2",ERK MAPK signaling,True
305,3.5091447830200195,TPCA-1,IKK2,"Other, kinases",False
1010,3.509293556213379,Gefitinib,EGFR,EGFR signaling,True
1014,3.51249623298645,Refametinib,"MEK1, MEK2",ERK MAPK signaling,False
1526,3.51249623298645,Refametinib,"MEK1, MEK2",ERK MAPK signaling,False
1175,3.5174949169158936,Rucaparib,"PARP1, PARP2",Genome integrity,False
292,3.519434690475464,Masitinib,"KIT, PDGFRA, PDGFRB",RTK signaling,False
158,3.522164821624756,PF-562271,"FAK, FAK2",Cytoskeleton,False
306,3.528632879257202,Fedratinib,JAK2,"Other, kinases",False
258,3.5365335941314697,STF-62247,Autophagy inducer,Other,False
1079,3.546874761581421,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases",True
51,3.546874761581421,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",RTK signaling,False
91,3.5474112033843994,GSK319347A,IKK,"Other, kinases",False
1259,3.550381660461426,Talazoparib,"PARP1, PARP2",Genome integrity,True
283,3.5547935962677,Omipalisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,False
136,3.555109739303589,Mitomycin-C,DNA crosslinker,DNA replication,False
1199,3.5553109645843506,Tamoxifen,ESR1,Hormone-related,True
288,3.5609660148620605,WHI-P97,JAK3,"Other, kinases",False
203,3.578683376312256,BMS-345541,"IKK1, IKK2","Other, kinases",False
1249,3.584924936294556,BMS-345541,"IKK-1, IKK-2",Other,True
279,3.5889439582824707,BIX02189,"MEK5, ERK5",ERK MAPK signaling,False
238,3.600846290588379,Idelalisib,PI3Kdelta,PI3K/MTOR signaling,False
226,3.601844549179077,GSK1070916,"AURKA, AURKC",Mitosis,False
1037,3.6070806980133057,BX795,"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","Other, kinases",False
